r_dark;r_light;;r;v_max;v_min 
0,0;;;0,23875;1,0;0,0 
0,675;0,4775;;0,75125;0,957930775;0,021335382 
0,955;0,8275;;1,01125;0,880002212;0,082457284 
1,1675;1,0675;;1,2149999999999999;0,776671791;0,174887432 
1,35;1,2625;;1,39125;0,661879654;0,285636756 
1,51;1,4325;;1,5474999999999999;0,551466771;0,400235648 
1,715;1,585;;1,74875;0,584114463;0,456977011 
1,845;1,7825;;1,875;0,630513362;0,393556555 
1,965;1,905;;1,99375;0,64101025;0,364971679 
2,0775;2,0225;;2,10375;0,617525105;0,372155515 
2,1825;2,13;;2,2075;0,568013151;0,409948822 
2,2825;2,2325;;2,3025;0,509143285;0,46769139 
2,35;2,3225;;2,3687500000000004;0,537743093;0,496356195 
2,4325;2,3875;;2,455;0,596775934;0,436660891 
;2,4775;;;; 
